epoch,train_loss,test_loss
1,2.3100204,1.7603017
2,1.7920308,1.7376598
3,1.74564,1.5576526
4,1.3802968,1.2191974
5,1.1023118,1.00071
6,0.9442219,0.8814064
7,0.8475924,0.80670524
8,0.78312457,0.75327766
9,0.73770994,0.7218019
10,0.7009695,0.69094574
11,0.67119694,0.6707216
12,0.6467462,0.6415442
13,0.6259211,0.6247825
14,0.6074111,0.60613686
15,0.5920141,0.5991191
16,0.57751083,0.5853142
17,0.564681,0.57525843
18,0.5539155,0.5630266
19,0.5441683,0.55060196
20,0.53451335,0.54617393
21,0.52620494,0.54145163
22,0.5189997,0.5343099
23,0.51164126,0.529516
24,0.506193,0.526029
25,0.50038767,0.51756555
26,0.4949619,0.5185639
27,0.48973024,0.5165775
28,0.48531798,0.50488806
29,0.4814424,0.5077263
30,0.4782588,0.50185513
31,0.47427037,0.49705452
32,0.47098193,0.49194497
33,0.46739018,0.48733512
34,0.464309,0.48716217
35,0.46197394,0.4859273
36,0.45925587,0.47840458
37,0.45648935,0.47658107
38,0.45483005,0.4802713
39,0.4518955,0.47632238
40,0.45037618,0.47724876
41,0.44780737,0.46885517
42,0.44516876,0.46956563
43,0.44362924,0.46731213
44,0.44196787,0.46968526
45,0.4398504,0.46265456
46,0.43821424,0.46340302
47,0.4363445,0.46555528
48,0.43471295,0.4618202
49,0.43283048,0.46542805
50,0.43213183,0.45967963
51,0.4300334,0.4558506
52,0.42916986,0.4577699
53,0.4276204,0.4539405
54,0.42579883,0.45557997
55,0.4246934,0.45191664
56,0.42302772,0.4501959
57,0.42145684,0.44946206
58,0.42055336,0.44955575
59,0.41967827,0.44839332
60,0.41843778,0.44941294
61,0.4170295,0.44593742
62,0.4161801,0.4475258
63,0.41507575,0.44890982
64,0.41395313,0.44784862
65,0.41290006,0.44605654
66,0.41203192,0.4459049
67,0.41096112,0.44601086
68,0.40969425,0.44015813
69,0.40963867,0.44208217
70,0.40805462,0.4437931
71,0.4073141,0.44134983
72,0.4069545,0.43882892
73,0.40557957,0.43900222
74,0.40472496,0.4409192
75,0.40424398,0.43949395
76,0.4030152,0.4451646
77,0.40280408,0.4362013
78,0.40161508,0.43544877
79,0.40069622,0.4349504
80,0.40043983,0.43603352
81,0.39992434,0.43617296
82,0.3994123,0.43865976
83,0.39848608,0.4349749
84,0.39785698,0.43736866
85,0.39685866,0.43576658
86,0.39655468,0.43415308
87,0.39541766,0.43126562
88,0.39494216,0.4353331
89,0.39422077,0.4357904
90,0.39393353,0.43342167
91,0.39332336,0.43207228
92,0.39236403,0.43065497
93,0.39231312,0.43389863
94,0.3915317,0.4302044
95,0.39058825,0.4336162
96,0.3899365,0.42952812
97,0.38995317,0.43116727
98,0.38901353,0.42793036
99,0.38864484,0.42908406
100,0.3882322,0.42835167
101,0.38695663,0.42891687
102,0.38692454,0.42786294
103,0.38651237,0.4316454
104,0.38565868,0.4294834
105,0.3857274,0.42609152
106,0.38505918,0.42736053
107,0.38426328,0.4240154
108,0.3839894,0.42514938
109,0.38336974,0.42674717
110,0.38264227,0.4248655
111,0.3826094,0.42742965
112,0.38221356,0.42564946
113,0.3813586,0.42595032
114,0.3809438,0.42614213
115,0.38123763,0.4268184
116,0.3801149,0.4252596
117,0.3802694,0.4260861
118,0.3797213,0.4255697
119,0.37936437,0.4229946
120,0.3786611,0.42485708
121,0.37818688,0.4216863
122,0.37784097,0.42389542
123,0.37721738,0.42388323
124,0.37704343,0.42607015
125,0.3769795,0.4245355
126,0.3761031,0.42611963
127,0.3761422,0.42358345
128,0.37535286,0.42370862
129,0.3752859,0.42434937
130,0.37484673,0.4210393
131,0.37448785,0.42234623
132,0.37399763,0.4248134
133,0.37382585,0.4203657
134,0.3731072,0.42133084
135,0.37277874,0.4201927
136,0.37295815,0.42099586
137,0.37223235,0.42243364
138,0.37184972,0.42197642
139,0.3710049,0.41843852
140,0.3712386,0.42211267
141,0.37074912,0.42081288
142,0.3706667,0.423209
143,0.36980814,0.4196132
144,0.3694457,0.41791758
145,0.3693186,0.42178598
146,0.3691789,0.41801667
147,0.36854306,0.42031068
148,0.3685372,0.41787973
149,0.3682686,0.41817173
150,0.36773068,0.42196664
151,0.36769253,0.41878936
152,0.36715034,0.41865787
153,0.36686704,0.41739193
154,0.36708462,0.41716373
155,0.3667561,0.41478205
156,0.36620632,0.4167463
157,0.36557892,0.41975227
158,0.36512107,0.41756284
159,0.36514327,0.41933587
160,0.3653967,0.4137275
161,0.36455578,0.41706696
162,0.3641345,0.41549096
163,0.3635281,0.41789246
164,0.36331564,0.4161465
165,0.3631168,0.41655824
166,0.3627426,0.41765046
167,0.36263406,0.41509485
168,0.362188,0.41806695
169,0.36231261,0.41623065
170,0.3619728,0.41457006
171,0.36118266,0.4132362
172,0.3614337,0.41381958
173,0.3609656,0.4149983
174,0.3609571,0.41500652
175,0.36060387,0.4139779
176,0.36023873,0.4143514
177,0.36024192,0.41185975
178,0.36002395,0.41694242
179,0.3600858,0.41362208
