df
"300×4 DataFrame
 Row │ epoch  train_loss  test_loss  test_mean_rank_error
     │ Int64  Float32     Float32    Float32
─────┼────────────────────────────────────────────────────
   1 │     1     6.21202    6.10435              186.594
   2 │     2     5.98655    5.89366              154.486
   3 │     3     5.83806    5.80787              143.507
   4 │     4     5.77385    5.76126              138.261
   5 │     5     5.73318    5.72973              134.748
   6 │     6     5.70363    5.70599              132.105
   7 │     7     5.67913    5.68542              130.088
   8 │     8     5.6562     5.66349              128.311
   9 │     9     5.63609    5.64783              127.052
  10 │    10     5.619      5.63312              125.916
  11 │    11     5.60457    5.62052              124.913
  12 │    12     5.59167    5.61049              124.169
  13 │    13     5.57961    5.59904              123.333
  14 │    14     5.56703    5.58762              122.624
  15 │    15     5.55471    5.57703              121.87
  16 │    16     5.54326    5.56779              121.256
  17 │    17     5.53247    5.55857              120.702
  18 │    18     5.52101    5.54718              119.999
  19 │    19     5.50944    5.53632              119.249
  20 │    20     5.4983     5.52574              118.609
  21 │    21     5.48664    5.51472              117.865
  22 │    22     5.47585    5.50386              117.136
  23 │    23     5.46505    5.49377              116.361
  24 │    24     5.45408    5.48274              115.553
  25 │    25     5.44235    5.47177              114.772
  26 │    26     5.43043    5.4606               113.884
  27 │    27     5.41808    5.44804              113.009
  28 │    28     5.40563    5.43595              112.108
  29 │    29     5.39252    5.42034              111.013
  30 │    30     5.37874    5.40587              109.894
  31 │    31     5.36489    5.39442              108.992
  32 │    32     5.35109    5.38274              108.037
  33 │    33     5.33752    5.36822              106.817
  34 │    34     5.3236     5.35646              106.028
  35 │    35     5.30962    5.33974              104.715
  36 │    36     5.29552    5.32864              103.806
  37 │    37     5.28168    5.31209              102.737
  38 │    38     5.2673     5.30077              101.779
  39 │    39     5.25304    5.28393              100.607
  40 │    40     5.23835    5.27084               99.368
  41 │    41     5.22295    5.25364               98.1289
  42 │    42     5.20743    5.24342               97.4734
  43 │    43     5.19112    5.22455               95.9608
  44 │    44     5.17516    5.20664               94.7628
  45 │    45     5.15983    5.19322               93.8678
  46 │    46     5.14459    5.17745               92.7288
  47 │    47     5.13013    5.16031               91.5297
  48 │    48     5.11508    5.14908               90.9375
  49 │    49     5.10102    5.13506               89.823
  50 │    50     5.08727    5.1215                88.9457
  51 │    51     5.07392    5.10733               87.9119
  52 │    52     5.06119    5.09438               87.1968
  53 │    53     5.04848    5.08065               86.2784
  54 │    54     5.03697    5.07147               85.6191
  55 │    55     5.02551    5.06302               85.0492
  56 │    56     5.0149     5.05148               84.4448
  57 │    57     5.00464    5.04106               83.7262
  58 │    58     4.99494    5.03172               83.2453
  59 │    59     4.98599    5.02451               82.6787
  60 │    60     4.97736    5.01501               82.2595
  61 │    61     4.9692     5.00659               81.7169
  62 │    62     4.96107    4.99587               81.1682
  63 │    63     4.9536     4.99112               80.8168
  64 │    64     4.94656    4.98672               80.5163
  65 │    65     4.93958    4.97838               80.1237
  66 │    66     4.93273    4.97229               79.6875
  67 │    67     4.92636    4.9669                79.2689
  68 │    68     4.92025    4.95891               78.8136
  69 │    69     4.91414    4.95401               78.5418
  70 │    70     4.9087     4.94805               78.1592
  71 │    71     4.90272    4.94173               77.7777
  72 │    72     4.89759    4.93851               77.6038
  73 │    73     4.89201    4.93551               77.4826
  74 │    74     4.8873     4.93074               77.1384
  75 │    75     4.88235    4.92577               76.8663
  76 │    76     4.87756    4.92717               76.753
  77 │    77     4.87274    4.91651               76.3251
  78 │    78     4.86835    4.91195               76.0339
  79 │    79     4.86403    4.90953               75.9076
  80 │    80     4.85947    4.90558               75.6809
  81 │    81     4.85519    4.90015               75.313
  82 │    82     4.85123    4.89588               75.1509
  83 │    83     4.84718    4.89435               74.9529
  84 │    84     4.84331    4.89019               74.837
  85 │    85     4.83939    4.88697               74.5096
  86 │    86     4.83529    4.88253               74.2512
  87 │    87     4.832      4.87977               74.1228
  88 │    88     4.8285     4.87414               73.7326
  89 │    89     4.82505    4.8747                73.8349
  90 │    90     4.82135    4.86623               73.3439
  91 │    91     4.81777    4.86415               73.2474
  92 │    92     4.81458    4.85971               72.9269
  93 │    93     4.81152    4.86017               72.9834
  94 │    94     4.80816    4.85587               72.6919
  95 │    95     4.80504    4.85527               72.6307
  96 │    96     4.8017     4.85447               72.4804
  97 │    97     4.79911    4.8463                72.0945
  98 │    98     4.79596    4.84283               71.9511
  99 │    99     4.7931     4.84037               71.8271
 100 │   100     4.7906     4.83881               71.5872
 101 │   101     4.78755    4.83404               71.4714
 102 │   102     4.78482    4.83358               71.2832
 103 │   103     4.78216    4.83191               71.2408
 104 │   104     4.77963    4.83381               71.2489
 105 │   105     4.77699    4.82774               71.0513
 106 │   106     4.77441    4.82526               70.8724
 107 │   107     4.77208    4.82293               70.6473
 108 │   108     4.76978    4.81963               70.5188
 109 │   109     4.76723    4.81542               70.282
 110 │   110     4.76444    4.81416               70.3164
 111 │   111     4.76244    4.81301               70.0782
 112 │   112     4.76009    4.80884               69.9467
 113 │   113     4.75784    4.80551               69.7905
 114 │   114     4.75546    4.80595               69.8745
 115 │   115     4.75276    4.80413               69.6536
 116 │   116     4.75073    4.80205               69.3971
 117 │   117     4.74884    4.79913               69.4386
 118 │   118     4.74656    4.79861               69.3995
 119 │   119     4.74417    4.79516               69.0145
 120 │   120     4.74235    4.79418               68.9967
 121 │   121     4.73991    4.79202               68.793
 122 │   122     4.73781    4.78954               68.8854
 123 │   123     4.7359     4.78845               68.6987
 124 │   124     4.73394    4.78218               68.3401
 125 │   125     4.73203    4.78386               68.4239
