epoch,train_loss,test_loss
1,6.21874,6.114191
2,5.986799,5.8968215
3,5.828102,5.803603
4,5.7626805,5.7592454
5,5.7242985,5.7293115
6,5.695821,5.706584
7,5.6722984,5.6862173
8,5.651445,5.6660905
9,5.632547,5.649462
10,5.615517,5.6351686
11,5.6015124,5.624092
12,5.5893636,5.613571
13,5.578005,5.603723
14,5.5673776,5.5949087
15,5.5569005,5.5863023
16,5.5465393,5.5750556
17,5.5349994,5.56414
18,5.5230436,5.553772
19,5.5100446,5.539819
20,5.4973545,5.528078
21,5.4841204,5.5159535
22,5.4704485,5.5047956
23,5.4575562,5.4918814
24,5.445282,5.4803314
25,5.4332366,5.4676275
26,5.420597,5.454467
27,5.4080224,5.442607
28,5.395351,5.4282722
29,5.381929,5.4163637
30,5.3682475,5.4012885
31,5.354331,5.389399
32,5.3403435,5.3769093
33,5.325824,5.3616734
34,5.3116827,5.3467784
35,5.2977366,5.334106
36,5.2838845,5.32244
37,5.269832,5.305022
38,5.2554555,5.292506
39,5.241382,5.279776
40,5.2270327,5.265489
41,5.2126384,5.2523537
42,5.198064,5.2364874
43,5.183408,5.222025
44,5.1695933,5.2095075
45,5.155387,5.1987944
46,5.1418796,5.185327
47,5.128708,5.1713643
48,5.116358,5.15886
49,5.103904,5.1451764
50,5.091312,5.1359653
51,5.079402,5.1264467
52,5.0678544,5.112383
53,5.056816,5.101051
54,5.0463676,5.090037
55,5.0359063,5.0814385
56,5.026066,5.070937
57,5.016801,5.0634356
58,5.007487,5.0538697
59,4.99833,5.0470433
60,4.9899616,5.0365705
61,4.9815555,5.0311837
62,4.973619,5.021881
63,4.965615,5.0115514
64,4.9579167,5.009637
65,4.950678,4.99942
66,4.9434457,4.9945436
67,4.9366384,4.985553
68,4.9297094,4.9806547
69,4.9233165,4.9724855
70,4.9169326,4.9663405
71,4.910997,4.9613934
72,4.905012,4.9573135
73,4.899038,4.94879
74,4.8934846,4.944542
75,4.8881016,4.941205
76,4.88286,4.934186
77,4.877617,4.9293857
78,4.87242,4.921588
79,4.8672843,4.9207335
80,4.8623033,4.9140835
81,4.8577204,4.9082217
82,4.853099,4.9069343
83,4.848595,4.9038057
84,4.8441777,4.9010715
85,4.839424,4.8947325
86,4.8356194,4.8894663
87,4.831479,4.886543
88,4.827308,4.883156
89,4.823274,4.878608
90,4.8194966,4.8726535
91,4.815407,4.8695674
92,4.811724,4.8671236
93,4.807796,4.8649683
94,4.804454,4.860094
95,4.8007126,4.8543267
96,4.797376,4.8548145
97,4.794161,4.847559
98,4.790735,4.845753
99,4.7874064,4.84211
100,4.784543,4.838274
101,4.781128,4.8387694
102,4.777945,4.832092
103,4.7749944,4.8317432
104,4.7718616,4.829985
105,4.7692847,4.8284082
106,4.7664323,4.823225
107,4.763395,4.820766
108,4.760471,4.8169246
109,4.7576356,4.815385
110,4.7551613,4.811877
111,4.7524467,4.8097715
112,4.7499347,4.8099914
113,4.747621,4.8053956
114,4.745392,4.8028994
115,4.7430277,4.8028965
116,4.7404757,4.7958975
117,4.7384357,4.7948985
118,4.736088,4.7896905
119,4.7339096,4.790081
120,4.7318335,4.7902837
121,4.7296176,4.7887416
122,4.727492,4.785609
123,4.72555,4.7835655
124,4.723532,4.782491
125,4.7215614,4.783615
126,4.719553,4.781367
127,4.717624,4.7776184
128,4.7154865,4.77289
129,4.71316,4.7727084
130,4.71136,4.770827
131,4.7096767,4.7714496
132,4.707417,4.7623315
133,4.705961,4.766263
134,4.703848,4.763463
135,4.702157,4.7613344
136,4.7005076,4.761413
137,4.69874,4.7548356
138,4.697051,4.760329
139,4.695221,4.755772
140,4.693903,4.7524004
141,4.6920333,4.752832
142,4.6907034,4.751482
143,4.688916,4.7491655
144,4.687745,4.746863
145,4.685683,4.7468805
146,4.684708,4.746397
147,4.682993,4.7426553
148,4.6815577,4.740033
149,4.6803308,4.73848
150,4.678801,4.739095
151,4.6772037,4.7401114
152,4.675851,4.7352324
153,4.6745214,4.7345223
154,4.673149,4.734117
155,4.67176,4.731205
156,4.6705976,4.732744
157,4.669031,4.7296586
158,4.6676054,4.7294827
159,4.666637,4.7304
160,4.6652255,4.7247624
161,4.663799,4.726297
162,4.662545,4.723414
163,4.661463,4.727252
164,4.660532,4.722306
165,4.659088,4.7202578
166,4.6574955,4.719379
167,4.6567106,4.7188296
168,4.655326,4.718121
169,4.654371,4.717288
170,4.6530223,4.716728
171,4.6520605,4.714939
172,4.650772,4.7156334
173,4.649699,4.7093325
174,4.648651,4.709093
175,4.6474814,4.7081103
176,4.6463947,4.7077513
177,4.6452165,4.707373
178,4.644546,4.707032
179,4.6435094,4.706178
180,4.642417,4.7065587
181,4.6409874,4.707256
182,4.640089,4.7029853
183,4.6390667,4.7024617
184,4.638296,4.69896
185,4.637146,4.6990237
186,4.636014,4.7003293
187,4.6351337,4.698154
188,4.633992,4.696949
189,4.633173,4.6958747
190,4.6323485,4.695877
191,4.631634,4.6956234
192,4.6306796,4.697224
193,4.6293917,4.691832
194,4.62856,4.69251
195,4.6276717,4.691682
196,4.6271024,4.6890926
197,4.626149,4.6899204
198,4.6253147,4.691057
199,4.624705,4.6889114
200,4.623558,4.6862917
201,4.6228285,4.6876082
202,4.622114,4.6848397
203,4.6210885,4.6853614
204,4.6205554,4.684163
205,4.619552,4.6853595
206,4.6186604,4.6826434
207,4.618218,4.681643
208,4.6175127,4.6820374
209,4.616811,4.680093
210,4.6160507,4.6783166
211,4.6150084,4.677944
212,4.6143312,4.6800146
213,4.6138043,4.6768603
214,4.6129303,4.6818123
215,4.612269,4.677043
216,4.611559,4.681553
217,4.610752,4.676691
218,4.6101394,4.6755247
219,4.60947,4.671671
220,4.6086855,4.673067
221,4.6081004,4.6733537
222,4.607458,4.6726813
223,4.6066823,4.6714454
224,4.606095,4.6721306
225,4.605659,4.6722975
226,4.60492,4.6697226
227,4.604069,4.671221
228,4.6037045,4.669391
229,4.603095,4.6704693
230,4.6026425,4.6680036
231,4.601724,4.666481
232,4.601054,4.6655135
233,4.6005216,4.6652293
234,4.6000447,4.6630044
235,4.5992947,4.666713
236,4.5989704,4.6650677
237,4.598294,4.6659513
238,4.5978107,4.6634326
239,4.5972524,4.664057
240,4.5967026,4.660344
241,4.596168,4.663642
242,4.5956116,4.66148
243,4.595095,4.6595187
244,4.594642,4.6606517
245,4.593872,4.658669
246,4.5936522,4.6585765
247,4.593122,4.6576815
248,4.5928173,4.6578064
249,4.5920706,4.65853
250,4.5916085,4.656071
251,4.591067,4.6558595
252,4.5905128,4.655039
253,4.5901227,4.653884
254,4.589765,4.6569686
255,4.5890284,4.654866
256,4.588699,4.6546984
257,4.5881357,4.6547484
258,4.5874887,4.6519594
259,4.5870166,4.6519556
260,4.586788,4.651146
261,4.5864267,4.654285
262,4.5859737,4.651664
263,4.5856366,4.650584
264,4.585019,4.648922
265,4.584572,4.650391
266,4.584007,4.651284
267,4.5838785,4.6503873
268,4.5834064,4.648992
269,4.582841,4.6488204
270,4.582507,4.647746
271,4.582054,4.6492825
272,4.581821,4.6505556
273,4.5812726,4.647856
274,4.5807285,4.6470985
275,4.5803866,4.6464043
276,4.5800085,4.645203
277,4.5796137,4.64721
278,4.579202,4.6443505
279,4.5785933,4.6452403
