epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,0.008002596,0.009246925,6.2193685,6.1196766
2,0.011101416,0.011582407,6.0133944,5.9354467
3,0.013185924,0.013453537,5.869083,5.8373065
4,0.015075089,0.015308409,5.8000646,5.792048
5,0.016629325,0.016459638,5.761622,5.7620683
6,0.018330133,0.018588854,5.7326083,5.737141
7,0.020323575,0.020233903,5.7082496,5.719213
8,0.022295805,0.022145677,5.686947,5.6996517
9,0.024288356,0.02412248,5.6678653,5.6823516
10,0.025910035,0.025446445,5.651455,5.6678777
11,0.027462112,0.027193611,5.6365676,5.6532183
12,0.029040989,0.028801573,5.6223097,5.6409135
13,0.030526893,0.02992486,5.6087437,5.628287
14,0.03196555,0.031665422,5.5957427,5.615604
15,0.033347305,0.033062544,5.58267,5.601596
16,0.034701496,0.034381937,5.570013,5.58971
17,0.035904422,0.035489477,5.557151,5.5772357
18,0.037205778,0.036768734,5.5437884,5.5641413
19,0.038450617,0.037877794,5.5305643,5.550929
20,0.039839484,0.03916061,5.5165253,5.5388427
21,0.041288808,0.040740628,5.5023355,5.523808
22,0.04277179,0.042131655,5.488032,5.5099077
23,0.044146433,0.04344546,5.473995,5.4969134
24,0.04540702,0.044636317,5.4592533,5.480691
25,0.046795253,0.046216846,5.444452,5.464548
26,0.04818298,0.047291867,5.429129,5.4504766
27,0.049723625,0.048543688,5.4126987,5.434888
28,0.051156566,0.050181627,5.3964415,5.4175653
29,0.052677143,0.051901866,5.3798356,5.3995867
30,0.054160506,0.052777734,5.3630815,5.3859105
